house,mic,date_time,start,full file name,onset,offset,event_label
TRF3,mic11,2022-01-28 22:07:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.07.00,12.775,12.925,1
TRF3,mic11,2022-01-28 04:52:00,TRF3_2020-12,TRF3_mic11_2022-01-28_04.52.00,46.325,46.475,2
TRF3,mic11,2022-01-28 05:06:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.06.00,14.475,14.625,1
TRF3,mic11,2022-01-28 22:21:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.21.00,6.075,6.225,2
TRF3,mic11,2022-01-28 05:11:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.11.00,39.975,40.125,2
TRF3,mic11,2022-01-28 04:29:00,TRF3_2020-12,TRF3_mic11_2022-01-28_04.29.00,57.125,57.275,1
TRF3,mic11,2022-01-28 22:47:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.47.00,16.425,16.575,2
TRF3,mic11,2022-01-28 04:45:00,TRF3_2020-12,TRF3_mic11_2022-01-28_04.45.00,25.575,25.725,1
TRF3,mic11,2022-01-28 01:57:00,TRF3_2020-12,TRF3_mic11_2022-01-28_01.57.00,33.725,33.875,1
TRF3,mic11,2022-01-28 01:39:00,TRF3_2020-12,TRF3_mic11_2022-01-28_01.39.00,8.525,8.675,1
TRF3,mic11,2022-01-28 22:50:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.50.00,17.675,17.825,1
TRF3,mic11,2022-01-28 22:50:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.50.00,58.225,58.375,2
TRF3,mic11,2022-01-28 05:04:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.04.00,3.875,4.025,1
TRF3,mic11,2022-01-28 22:14:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.14.00,28.525,28.675,2
TRF3,mic11,2022-01-28 05:57:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.57.00,18.425,18.575,1
TRF3,mic11,2022-01-28 04:58:00,TRF3_2020-12,TRF3_mic11_2022-01-28_04.58.00,40.975,41.125,2
TRF3,mic11,2022-01-28 22:08:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.08.00,43.375,43.525,2
TRF3,mic11,2022-01-28 05:07:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.07.00,5.875,6.025,2
TRF3,mic11,2022-01-28 03:14:00,TRF3_2020-12,TRF3_mic11_2022-01-28_03.14.00,33.725,33.875,1
TRF3,mic11,2022-01-28 03:14:00,TRF3_2020-12,TRF3_mic11_2022-01-28_03.14.00,33.825,33.975,2
TRF3,mic11,2022-01-28 05:12:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.12.00,6.975,7.125,2
TRF3,mic11,2022-01-28 04:40:00,TRF3_2020-12,TRF3_mic11_2022-01-28_04.40.00,22.975,23.125,2
TRF3,mic11,2022-01-28 03:05:00,TRF3_2020-12,TRF3_mic11_2022-01-28_03.05.00,21.975,22.125,1
TRF3,mic11,2022-01-28 22:20:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.20.00,43.825,43.975,2
TRF3,mic11,2022-01-28 05:10:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.10.00,51.725,51.875,1
TRF3,mic11,2022-01-28 05:10:00,TRF3_2020-12,TRF3_mic11_2022-01-28_05.10.00,54.375,54.525,1
TRF3,mic11,2022-01-28 04:11:00,TRF3_2020-12,TRF3_mic11_2022-01-28_04.11.00,56.675,56.825,1
TRF3,mic11,2022-01-28 22:51:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.51.00,11.225,11.375,1
TRF3,mic11,2022-01-28 22:51:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.51.00,22.825,22.975,2
TRF3,mic11,2022-01-28 22:51:00,TRF3_2020-12,TRF3_mic11_2022-01-28_22.51.00,33.275,33.425,2
